Country.Region,Province.State,Population,Density,Source,Level
Kazakhstan,None,18276499,,World Bank,Country.Region
Kenya,None,51393010,,World Bank,Country.Region
Kiribati,None,115847,,World Bank,Country.Region
"Korea, Dem. People's Rep.",None,25549819,,World Bank,Country.Region
"Korea, Rep.",None,51635256,,World Bank,Country.Region
Republic of Korea,None,51635256,,World Bank,Country.Region
Kosovo,None,1845300,,World Bank,Country.Region
Kuwait,None,4137309,,World Bank,Country.Region
Kyrgyz Republic,None,6315800,,World Bank,Country.Region
Kyrgyzstan,None,6315800,,World Bank,Country.Region
Lao PDR,None,7061507,,World Bank,Country.Region
Late-demographic dividend,None,2288665963,,World Bank,Country.Region
Latin America & Caribbean,None,641357515,,World Bank,Country.Region
Latin America & Caribbean (excluding high income),None,609013934,,World Bank,Country.Region
Latin America & the Caribbean (IDA & IBRD countries),None,625569713,,World Bank,Country.Region
Latvia,None,1926542,,World Bank,Country.Region
Least developed countries: UN classification,None,1009662578,,World Bank,Country.Region
Lebanon,None,6848925,,World Bank,Country.Region
Lesotho,None,2108132,,World Bank,Country.Region
Liberia,None,4818977,,World Bank,Country.Region
Libya,None,6678567,,World Bank,Country.Region
Liechtenstein,None,37910,,World Bank,Country.Region
Lithuania,None,2789533,,World Bank,Country.Region
Low & middle income,None,6383958209,,World Bank,Country.Region
Low income,None,705417321,,World Bank,Country.Region
Lower middle income,None,3022905169,,World Bank,Country.Region
Luxembourg,None,607728,,World Bank,Country.Region
"Macao SAR, China",None,631636,,World Bank,Country.Region
Madagascar,None,26262368,,World Bank,Country.Region
Malawi,None,18143315,,World Bank,Country.Region
Malaysia,None,31528585,,World Bank,Country.Region
Maldives,None,515696,,World Bank,Country.Region
Mali,None,19077690,,World Bank,Country.Region
Malta,None,483530,,World Bank,Country.Region
Marshall Islands,None,58413,,World Bank,Country.Region
Mauritania,None,4403319,,World Bank,Country.Region
Mauritius,None,1265303,,World Bank,Country.Region
Mexico,None,126190788,,World Bank,Country.Region
"Micronesia, Fed. Sts.",None,112640,,World Bank,Country.Region
Middle East & North Africa,None,448912859,,World Bank,Country.Region
Middle East & North Africa (excluding high income),None,382896715,,World Bank,Country.Region
Middle East & North Africa (IDA & IBRD countries),None,378327628,,World Bank,Country.Region
Middle income,None,5678540888,,World Bank,Country.Region
Moldova,None,3545883,,World Bank,Country.Region
Monaco,None,38682,,World Bank,Country.Region
Mongolia,None,3170208,,World Bank,Country.Region
Montenegro,None,622345,,World Bank,Country.Region
Morocco,None,36029138,,World Bank,Country.Region
Mozambique,None,29495962,,World Bank,Country.Region
Myanmar,None,53708395,,World Bank,Country.Region
Namibia,None,2448255,,World Bank,Country.Region
Nauru,None,12704,,World Bank,Country.Region
Nepal,None,28087871,,World Bank,Country.Region
Netherlands,None,17231017,,World Bank,Country.Region
New Caledonia,None,284060,,World Bank,Country.Region
New Zealand,None,4885500,,World Bank,Country.Region
Nicaragua,None,6465513,,World Bank,Country.Region
Niger,None,22442948,,World Bank,Country.Region
Nigeria,None,195874740,,World Bank,Country.Region
North America,None,364290258,,World Bank,Country.Region
North Macedonia,None,2082958,,World Bank,Country.Region
Northern Mariana Islands,None,56882,,World Bank,Country.Region
Norway,None,5314336,,World Bank,Country.Region
OECD members,None,1303529456,,World Bank,Country.Region
Oman,None,4829483,,World Bank,Country.Region
Other small states,None,30758989,,World Bank,Country.Region
Pacific island small states,None,2457367,,World Bank,Country.Region
Pakistan,None,212215030,,World Bank,Country.Region
Palau,None,17907,,World Bank,Country.Region
Panama,None,4176873,,World Bank,Country.Region
Papua New Guinea,None,8606316,,World Bank,Country.Region
Paraguay,None,6956071,,World Bank,Country.Region
Peru,None,31989256,,World Bank,Country.Region
Philippines,None,106651922,,World Bank,Country.Region
Poland,None,37978548,,World Bank,Country.Region
Portugal,None,10281762,,World Bank,Country.Region
Post-demographic dividend,None,1109997273,,World Bank,Country.Region
Pre-demographic dividend,None,919485393,,World Bank,Country.Region
Puerto Rico,None,3195153,,World Bank,Country.Region
Qatar,None,2781677,,World Bank,Country.Region
Romania,None,19473936,,World Bank,Country.Region
Russia,None,146804372,,OECD,Country.Region
Russian Federation,None,144478050,,World Bank,Country.Region
Rwanda,None,12301939,,World Bank,Country.Region
Saint Kitts and Nevis,None,55345,,World Bank,Country.Region
